identifier,ticker
fut_er1,ER1 Comdty
fut_er2,ER2 Comdty
fut_er3,ER3 Comdty
fut_er4,ER4 Comdty
fut_er5,ER5 Comdty
fut_er6,ER6 Comdty
fut_er7,ER7 Comdty
fut_er8,ER8 Comdty
fut_er9,ER9 Comdty
fut_er10,ER10 Comdty
fut_er11,ER11 Comdty
fut_er12,ER12 Comdty
fut_du1,DU1 Comdty
fut_oe1,OE1 Comdty
fut_rx1,RX1 Comdty
fut_ub1,UB1 Comdty
fut_oat1,OAT1 Comdty
fut_ik1,IK1 Comdty
fut_ty1,TY1 Comdty
fut_tu1,TU1 Comdty
fut_fv1,FV1 Comdty
fut_ym1,YM1 Comdty
fut_xm1,XM1 Comdty
fut_lty1,LTY1 Comdty
fut_jb1,JB1 Comdty
